Name,id,Recognition,State,Seat,Party,Gender,isdupe,DNA,Hair Final,Hairstyle Final,Eyebrows,Mouth,Ears,Facial Hair,Face,Misc,Eyes,Skin Shade,Wrinkles,Incumbent
Don Young,8,0.784,AK,1,R,M,0,MGrayReceding HairlineNormalNormalNormalBeardNormalGlassesBlueWhiteYes,Gray,Receding Hairline,Normal,Normal,Normal,Beard,Normal,Glasses,Blue,White,Yes,Y
Lisa Murkowski,442,0.913,AK,SEN,R,F,0,FDark BrownFemale BobNormalThin LipsNormalNoneCheeksNoneBlueWhiteYes,Dark Brown,Female Bob,Normal,Thin Lips,Normal,None,Cheeks,None,Blue,White,Yes,Y
Dan Sullivan,441,0.78,AK,SEN,R,M,0,MGrayReceding HairlineNormalSerious SmileNormalNoneNormalNoneBlueWhiteMild,Gray,Receding Hairline,Normal,Serious Smile,Normal,None,Normal,None,Blue,White,Mild,Y
Jerry Carl,1,0.566,AL,1,R,M,0,MWhiteReceding HairlineNormalNormalBigNoneNormalGlassesBlueWhiteMild,White,Receding Hairline,Normal,Normal,Big,None,Normal,Glasses,Blue,White,Mild,Y
Barry Moore,2,0.577,AL,2,R,M,0,MGrayGeneric Male MediumNormalSmirkNormalNoneNormalNoneBrownOrangeNo,Gray,Generic Male Medium,Normal,Smirk,Normal,None,Normal,None,Brown,Orange,No,Y
Mike Rogers,3,0.569,AL,3,R,M,0,MBrownGeneric Male MediumNormalBig SmileBigNoneChinNoneGreenWhiteNo,Brown,Generic Male Medium,Normal,Big Smile,Big,None,Chin,None,Green,White,No,Y
Robert Aderholt,4,0.585,AL,4,R,M,0,MNoneBaldNormalSerious SmileNormalNoneNormalNoneBrownWhiteNo,None,Bald,Normal,Serious Smile,Normal,None,Normal,None,Brown,White,No,Y
Mo Brooks,5,0.4,AL,5,R,M,0,MWhiteGeneric Male MediumProminentSmirkBigNoneCheeksNoneBrownWhiteMild,White,Generic Male Medium,Prominent,Smirk,Big,None,Cheeks,None,Brown,White,Mild,Y
Gary Palmer,6,0.527,AL,6,R,M,0,MDark GrayReceding HairlineNormalSmirkNormalNoneNormalNoneHazelWhiteYes,Dark Gray,Receding Hairline,Normal,Smirk,Normal,None,Normal,None,Hazel,White,Yes,Y
Terri Sewell,7,0.755,AL,7,D,F,0,FBlackFemale LongNormalBig SmileNormalNoneChinNoneBrownBlackMild,Black,Female Long,Normal,Big Smile,Normal,None,Chin,None,Brown,Black,Mild,Y
